1,1,12.0
1,1,12.16667
1,1,12.33333
1,1,12.5
1,1,12.66667
1,1,12.83333
1,1,13.0
1,1,13.16667
1,1,13.33333
1,1,13.5
1,1,13.66667
1,1,13.83333
1,1,14.0
1,1,14.16667
1,1,14.33333
1,1,14.5
1,1,14.66667
1,1,14.83333
1,1,15.0
1,1,15.16667
1,1,15.33333
1,1,15.5
1,1,15.66667
1,1,15.83333
1,1,16.0
1,1,16.16667
1,1,16.33333
1,1,16.5
1,1,16.66667
1,1,16.83333
1,1,17.0
1,1,17.16667
1,1,17.33333
1,1,17.5
1,1,17.66667
1,1,17.83333
1,2,12.0
1,2,12.16667
1,2,12.33333
1,2,12.5
1,2,12.66667
1,2,12.83333
1,2,13.0
1,2,13.16667
1,2,13.33333
1,2,13.5
1,2,13.66667
1,2,13.83333
1,2,14.0
1,2,14.16667
1,2,14.33333
1,2,14.5
1,2,14.66667
1,2,14.83333
1,2,15.0
1,2,15.16667
1,2,15.33333
1,2,15.5
1,2,15.66667
1,2,15.83333
1,2,16.0
1,2,16.16667
1,2,16.33333
1,2,16.5
1,2,16.66667
1,2,16.83333
1,2,17.0
1,2,17.16667
1,2,17.33333
1,2,17.5
1,2,17.66667
1,2,17.83333
1,3,12.0
1,3,12.16667
1,3,12.33333
1,3,12.5
1,3,12.66667
1,3,12.83333
1,3,13.0
1,3,13.16667
1,3,13.33333
1,3,13.5
1,3,13.66667
1,3,13.83333
1,3,14.0
1,3,14.16667
1,3,14.33333
1,3,14.5
1,3,14.66667
1,3,14.83333
1,3,15.0
1,3,15.16667
1,3,15.33333
1,3,15.5
1,3,15.66667
1,3,15.83333
1,3,16.0
1,3,16.16667
1,3,16.33333
1,3,16.5
1,3,16.66667
1,3,16.83333
1,3,17.0
1,3,17.16667
1,3,17.33333
1,3,17.5
1,3,17.66667
1,3,17.83333
1,4,12.0
1,4,12.16667
1,4,12.33333
1,4,12.5
1,4,12.66667
1,4,12.83333
1,4,13.0
1,4,13.16667
1,4,13.33333
1,4,13.5
1,4,13.66667
1,4,13.83333
1,4,14.0
1,4,14.16667
1,4,14.33333
1,4,14.5
1,4,14.66667
1,4,14.83333
1,4,15.0
1,4,15.16667
1,4,15.33333
1,4,15.5
1,4,15.66667
1,4,15.83333
1,4,16.0
1,4,16.16667
1,4,16.33333
1,4,16.5
1,4,16.66667
1,4,16.83333
1,4,17.0
1,4,17.16667
1,4,17.33333
1,4,17.5
1,4,17.66667
1,4,17.83333
1,5,12.0
1,5,12.16667
1,5,12.33333
1,5,12.5
1,5,12.66667
1,5,12.83333
1,5,13.0
1,5,13.16667
1,5,13.33333
1,5,13.5
1,5,13.66667
1,5,13.83333
1,5,14.0
1,5,14.16667
1,5,14.33333
1,5,14.5
1,5,14.66667
1,5,14.83333
1,5,15.0
1,5,15.16667
1,5,15.33333
1,5,15.5
1,5,15.66667
1,5,15.83333
1,5,16.0
1,5,16.16667
1,5,16.33333
1,5,16.5
1,5,16.66667
1,5,16.83333
1,5,17.0
1,5,17.16667
1,5,17.33333
1,5,17.5
1,5,17.66667
1,5,17.83333
